Date,Username,Comment
15:36:05,CalebTheGamer,Kamala is a joke she always laughs at everything
15:36:06,Soledad,Spirits...Get a JOB
15:36:07,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:36:08,Peter Asirvatham,Trump
15:36:09,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:36:11,Dare2Differ,Trump trump
15:36:12,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:36:13,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:36:14,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:36:15,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:36:16,Dare2Differ,:face-red-heart-shape::face-red-heart-shape::face-red-heart-shape:Trump
15:36:17,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:36:41,CalebTheGamer,keep dreaming Kamel toe supporters
15:36:45,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:36:49,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:37:10,Leonel José Tijerino sanchez,viva Kamala y los emigrantes
15:37:11,KI Singularität Thelema,:face-orange-raised-eyebrow:???
15:37:12,Frodo “Cheeze” Baggins,I think women are afraid of murderers and r**ists from across the border
15:37:14,Spirits ,For the rights of all woman :sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:37:15,Leonel José Tijerino sanchez,viva la frontera
15:37:16,DELL I7 8TH GENERATION,Only trump
15:37:17,kuya Usa Vlog,Trump is the only President who can stop world war 3
15:37:19,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:37:20,Leonel José Tijerino sanchez,viva la frontera
15:37:21,Jayden von Hoesslin,WE NEED TRUMP FOR BULLMARKET
15:37:22,CalebTheGamer,Trump 2024
15:37:24,KI Singularität Thelema,:cat-orange-whistling:
15:37:25,Rich DSR,TRUMP 2024:face-red-droopy-eyes:
15:37:47,Dare2Differ,:pink_heart::pink_heart::pink_heart:
15:37:49,Spirits ,Never a rapist in the White House again vote for women rights
15:37:51,sanjay verma,Trump is winning
15:37:53,KI Singularität Thelema,:glasses-purple-yellow-diamond:
15:37:54,Leonel José Tijerino sanchez,3000 emigrantes vienen en camino
15:37:56,Jesus is Lord,Trump 2024
15:37:58,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:38:00,Dare2Differ,Trump
15:38:02,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:38:04,Dare2Differ,Trump
15:38:06,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:38:27,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:38:29,buratsa de ahit,vote for kamala..open border..welcome criminals
15:38:30,sanjay verma,kamala is neither good for usa nor for India
15:38:31,Spirits ,:sparkles::blue_heart::sparkles::blue_heart::sparkles::blue_heart::sparkles:
15:38:33,Dare2Differ,no more yamala hallis... say Trump 2024
15:38:34,Krazykahaan2000,TRUMP
